onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
3	7	91.5	0.0	89.5	75.0	100.0	clip_1
44	7	0.0	0.0	0.0	0.0	100.0	clip_2
76	5	55.5	0.0	10.0	8.0	80.5	clip_3
95	8	49.0	0.0	14.5	47.0	47.0	clip_4
139	8	59.0	0.0	15.0	54.0	51.0	clip_5
193	9	0.0	0.0	15.0	5.0	50.5	clip_6
230	7	54.0	0.0	8.0	53.5	49.0	clip_7
270	10	65.5	0.0	24.0	61.0	78.5	clip_8
316	9	26.5	0.0	19.5	64.5	72.0	clip_9
360	8	9.5	0.0	2.0	42.0	53.0	clip_10
420	10	63.0	0.0	18.0	13.0	48.5	clip_11
466	8	0.0	0.0	0.0	25.5	51.5	clip_12
493	8	25.0	0.0	0.5	10.5	50.0	clip_13
525	9	26.5	0.0	5.5	9.5	48.5	clip_14
559	5	0.0	0.0	0.0	0.0	49.0	clip_15
576	8	59.0	0.0	22.5	0.0	30.0	clip_16
590	4	62.5	0.0	3.5	4.0	60.0	clip_17
628	8	22.5	50.0	16.5	59.0	63.0	clip_18
653	5	27.5	27.5	28.0	16.5	55.0	clip_19
670	6	54.5	16.0	13.5	49.5	68.5	clip_20
689	3	55.5	0.0	17.5	26.5	72.5	clip_21
721	6	55.5	48.0	31.0	73.5	87.0	clip_22
737	5	64.5	29.5	37.0	29.5	51.0	clip_23
766	8	59.5	49.0	54.5	87.5	100.0	clip_24
