onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
8	4	0.0	0.0	0.0	0.0	0.0	clip_1
51	8	2.5	2.5	2.5	2.5	2.5	clip_2
80	6	0.0	0.0	0.0	0.0	0.0	clip_3
108	6	0.0	0.0	0.0	0.0	0.0	clip_4
156	3	0.0	0.0	0.0	0.0	0.0	clip_5
209	5	50.0	0.0	0.0	0.0	0.0	clip_6
228	7	0.0	0.0	0.0	0.0	0.0	clip_7
252	6	0.0	0.0	0.0	0.0	0.0	clip_8
288	6	0.0	0.0	0.0	0.0	0.0	clip_9
330	6	0.0	0.0	0.0	0.0	0.0	clip_10
355	8	0.0	0.0	0.0	0.0	0.0	clip_11
390	6	0.0	0.0	0.0	0.0	0.0	clip_12
440	8	0.0	0.0	0.0	0.0	0.0	clip_13
468	9	0.0	0.0	0.0	0.0	0.0	clip_14
501	6	6.5	6.5	6.5	6.5	6.5	clip_15
543	6	0.0	0.0	0.0	0.0	0.0	clip_16
569	8	0.0	0.0	0.0	0.0	0.0	clip_17
611	8	0.0	0.0	0.0	0.0	0.0	clip_18
645	8	0.0	0.0	0.0	0.0	0.0	clip_19
675	8	0.0	0.0	0.0	0.0	0.0	clip_20
719	6	0.0	0.0	0.0	0.0	0.0	clip_21
762	8	0.0	0.0	0.0	0.0	0.0	clip_22
790	5	0.0	0.0	0.0	0.0	0.0	clip_23
