onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
4	5	0	0	0	0	0	clip_1
44	6	0	0	0	0	0	clip_2
71	6	0	0	0	0	0	clip_3
118	8	0	0	0	0	0	clip_4
142	7	0	0	0	0	0	clip_5
168	5	0	0	0	0	0	clip_6
201	8	2	2	2	2	2	clip_7
232	6	0	0	0	0	0	clip_8
267	8	0	0	0	0	0	clip_9
308	7	0	0	0	0	0	clip_10
341	10	0	0	0	0	0	clip_11
404	9	0	0	0	0	0	clip_12
440	8	0	0	0	0	0	clip_13
473	7	0	0	0	0	0	clip_14
510	9	0	0	0	0	0	clip_15
547	4	0	0	0	0	0	clip_16
596	9	0	0	0	0	0	clip_17
638	6	0	0	0	0	0	clip_18
662	5	0	0	0	0	0	clip_19
690	8	0	0	0	0	0	clip_20
720	7	0	0	0	0	0	clip_21
750	8	0	0	0	0	0	clip_22
777	5	0	0	0	0	0	clip_23
799	5	0	0	0	0	0	clip_24
