onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
6	5	0.0	0.0	13.5	0.0	0.0	clip_1
29	5	0.0	0.0	0.0	0.0	0.0	clip_2
60	6	1.5	0.0	16.5	0.0	0.0	clip_3
82	7	0.0	0.0	0.0	0.0	0.0	clip_4
113	6	0.0	0.0	0.0	0.0	0.0	clip_5
134	6	6.0	57.5	63.5	47.5	0.0	clip_6
166	9	61.5	56.0	0.5	0.0	0.0	clip_7
196	8	48.0	0.0	0.0	0.0	0.0	clip_8
239	8	0.0	38.5	40.5	0.0	0.0	clip_9
267	9	46.5	0.0	0.0	0.0	0.0	clip_10
307	10	0.0	0.0	0.0	0.0	0.0	clip_11
352	8	45.5	49.0	0.0	0.0	0.0	clip_12
392	6	0.0	0.0	52.0	0.0	0.0	clip_13
405	7	34.5	32.0	28.0	4.0	0.0	clip_14
443	8	48.5	29.0	26.5	0.0	0.0	clip_15
507	9	48.0	0.0	0.0	0.0	0.0	clip_16
532	7	0.0	0.0	0.0	0.0	0.0	clip_17
570	7	50.0	0.0	0.0	0.0	0.0	clip_18
598	9	24.0	28.0	0.0	6.0	0.0	clip_19
645	8	10.5	0.0	0.0	0.0	0.0	clip_20
674	5	34.5	0.0	0.0	0.0	0.0	clip_21
707	9	29.5	29.5	0.0	0.0	0.0	clip_22
740	7	11.0	0.0	0.0	0.0	0.0	clip_23
776	10	62.5	62.5	16.0	0.0	0.0	clip_24
803	5	30.0	23.5	0.0	0.0	0.0	clip_25
829	7	0.0	0.0	0.0	0.0	0.0	clip_26
864	6	63.0	0.0	0.0	0.0	0.0	clip_27
910	8	89.5	0.0	0.0	0.0	0.0	clip_28
955	10	41.5	0.0	0.0	0.0	0.0	clip_29
972	7	76.5	35.5	0.0	0.0	0.0	clip_30
986	6	62.0	27.5	0.0	0.0	0.0	clip_31
