onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
4	5	30.5	0.0	53.0	0.0	0.0	clip_1
44	6	0.0	0.0	59.0	0.0	0.0	clip_2
71	6	23.0	0.0	0.0	0.0	0.0	clip_3
118	8	17.5	0.0	0.0	0.0	0.0	clip_4
142	7	0.0	0.0	0.0	0.0	11.0	clip_5
168	5	0.0	0.0	0.0	0.0	17.5	clip_6
201	8	0.0	8.5	0.0	0.0	13.0	clip_7
232	6	0.0	0.0	0.0	0.0	0.0	clip_8
267	8	0.0	0.0	0.0	0.0	0.0	clip_9
308	7	0.0	0.0	0.0	0.0	0.0	clip_10
341	10	27.5	18.0	12.5	0.0	0.0	clip_11
404	9	15.5	0.0	0.0	0.0	0.0	clip_12
440	8	26.0	0.0	0.0	0.0	0.0	clip_13
473	7	0.0	0.0	0.0	0.0	0.0	clip_14
510	9	0.0	0.0	0.0	0.0	80.5	clip_15
547	4	0.0	0.0	0.0	0.0	0.0	clip_16
596	9	46.5	50.5	0.0	0.0	0.0	clip_17
638	6	57.0	56.0	13.5	20.0	0.0	clip_18
662	5	67.5	63.0	0.0	19.0	0.5	clip_19
690	8	80.0	79.0	0.0	0.0	0.0	clip_20
720	7	50.0	57.0	0.0	0.0	0.0	clip_21
750	8	88.5	88.5	0.0	12.0	0.0	clip_22
777	5	88.0	72.0	0.5	0.5	0.5	clip_23
799	5	88.5	0.0	0.0	13.5	0.0	clip_24
