onset	duration	Stop	Care	Suddenly	WarmHeartedness	Love	trial
15	6	85.5	69.5	100.0	0.0	0.0	clip_1
38	6	60.5	25.5	99.5	0.0	0.0	clip_2
94	5	30.0	42.0	0.0	25.5	0.0	clip_3
160	8	55.5	72.5	34.5	40.5	49.5	clip_4
190	6	0.0	68.0	0.0	100.0	100.0	clip_5
225	7	0.0	11.0	0.0	100.0	100.0	clip_6
265	7	0.0	19.0	0.0	93.5	84.0	clip_7
298	7	50.0	75.5	75.5	0.0	0.0	clip_8
371	7	24.0	100.0	100.0	86.5	100.0	clip_9
420	5	35.5	100.0	25.5	0.0	84.5	clip_10
452	6	0.0	24.0	0.0	74.0	87.0	clip_11
510	6	59.0	33.5	33.5	16.0	16.0	clip_12
536	6	59.5	29.5	70.0	19.5	11.5	clip_13
575	7	57.0	64.0	64.0	22.5	10.0	clip_14
593	7	100.0	100.0	92.5	0.0	100.0	clip_15
633	7	100.0	100.0	100.0	27.0	100.0	clip_16
663	7	100.0	100.0	100.0	69.0	100.0	clip_17
706	7	69.5	100.0	0.0	43.5	100.0	clip_18
