onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
9	4	50.0	50.0	71.0	40.5	2.5	clip_1
37	8	10.5	9.0	9.0	18.0	12.0	clip_2
58	4	60.0	18.0	27.5	29.5	15.5	clip_3
80	4	38.5	14.0	61.0	17.0	26.0	clip_4
104	10	28.0	21.5	21.5	15.5	11.5	clip_5
134	7	28.5	1.5	62.0	21.5	10.5	clip_6
155	5	50.0	18.5	61.0	34.5	16.5	clip_7
188	6	39.0	29.5	73.5	49.5	10.0	clip_8
209	8	50.0	13.0	80.0	16.5	2.0	clip_9
237	8	50.0	18.0	73.5	36.5	7.5	clip_10
279	9	28.0	12.5	73.0	25.5	7.0	clip_11
307	5	50.0	50.0	82.0	30.5	2.0	clip_12
358	6	39.5	26.0	83.0	8.0	4.0	clip_13
374	9	0.0	6.0	89.0	8.0	2.0	clip_14
395	9	0.0	0.0	81.5	0.0	10.5	clip_15
432	8	1.0	1.0	86.5	25.0	2.5	clip_16
488	5	9.0	3.0	77.0	20.5	7.0	clip_17
512	8	39.5	4.5	79.5	31.0	6.5	clip_18
535	5	38.0	13.5	92.0	15.0	11.5	clip_19
576	6	40.5	40.5	71.0	53.5	8.0	clip_20
