onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
19	5	5.5	4.0	52.5	21.0	21.0	clip_1
60	6	71.5	49.0	53.0	65.0	24.0	clip_2
95	5	0.0	0.0	39.0	0.0	63.0	clip_3
131	5	50.0	50.0	50.0	57.5	6.5	clip_4
147	6	42.5	51.0	51.0	51.0	24.0	clip_5
176	6	35.0	0.0	57.5	48.0	41.0	clip_6
210	5	0.0	0.0	88.5	0.0	19.5	clip_7
233	5	0.0	0.0	40.0	0.0	47.5	clip_8
255	7	0.0	22.0	81.0	13.0	47.0	clip_9
286	6	0.0	0.0	100.0	100.0	21.5	clip_10
343	5	1.0	1.0	98.0	27.0	62.0	clip_11
385	8	9.0	9.0	98.0	8.0	57.5	clip_12
412	8	0.0	16.5	75.0	27.5	30.5	clip_13
465	7	69.0	49.0	61.5	50.0	50.0	clip_14
518	6	50.0	50.0	71.5	36.0	29.0	clip_15
555	5	65.0	53.5	46.5	52.5	12.5	clip_16
594	7	53.5	54.5	64.5	58.0	1.0	clip_17
611	7	100.0	85.5	66.0	59.5	59.5	clip_18
633	7	0.0	19.5	100.0	2.0	79.0	clip_19
666	4	0.0	0.0	64.0	0.0	63.0	clip_20
701	9	1.0	0.0	54.0	0.0	41.5	clip_21
740	8	0.0	0.0	31.5	0.0	78.5	clip_22
778	9	2.0	2.0	68.0	2.0	28.0	clip_23
799	7	0.0	0.0	46.5	0.0	67.5	clip_24
839	5	71.5	50.0	58.0	25.5	25.0	clip_25
894	6	61.5	17.0	96.5	39.0	24.5	clip_26
962	7	75.5	35.0	65.5	47.5	16.0	clip_27
1002	8	0.0	0.0	67.5	2.0	18.0	clip_28
1022	5	3.5	3.5	56.0	3.0	7.0	clip_29
