onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
16	5	30.5	76.5	51.0	61.0	16.0	clip_1
48	8	47.0	58.0	44.0	64.5	29.0	clip_2
68	4	26.5	23.5	44.0	37.5	62.0	clip_3
94	7	54.5	52.5	52.5	56.5	32.0	clip_4
116	4	40.5	48.0	63.5	38.5	71.5	clip_5
165	7	39.0	47.5	51.5	42.0	60.0	clip_6
196	6	31.5	45.0	33.0	35.5	23.0	clip_7
232	10	35.0	30.5	36.5	27.5	23.5	clip_8
285	5	24.5	12.5	55.0	12.5	70.5	clip_9
307	7	0.0	0.0	64.5	0.0	85.5	clip_10
355	10	3.0	0.0	81.0	0.0	87.5	clip_11
384	9	0.0	0.0	80.0	0.0	92.5	clip_12
