onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
6	5	20.5	65.0	29.5	56.5	12.5	clip_1
29	5	32.5	66.0	33.0	56.5	15.0	clip_2
60	6	16.0	66.0	27.0	61.5	22.5	clip_3
82	7	26.5	56.5	27.0	54.5	54.5	clip_4
113	6	29.5	52.5	39.5	49.5	42.0	clip_5
134	6	0.0	9.0	49.5	1.5	85.5	clip_6
166	9	4.0	20.5	47.5	6.5	59.5	clip_7
196	8	12.5	32.5	52.0	19.0	80.5	clip_8
239	8	9.5	26.0	46.0	24.5	66.0	clip_9
267	9	17.0	17.0	45.5	36.0	47.5	clip_10
307	10	10.0	48.5	38.0	36.0	54.0	clip_11
352	8	3.0	19.0	45.0	21.0	90.0	clip_12
392	6	7.5	23.5	23.5	17.5	83.5	clip_13
405	7	3.5	22.0	48.0	31.0	82.5	clip_14
443	8	11.0	19.0	43.0	22.0	74.5	clip_15
507	9	27.0	27.0	35.5	36.0	36.5	clip_16
532	7	14.0	14.0	26.0	40.5	68.0	clip_17
570	7	11.5	39.0	35.5	34.0	38.5	clip_18
598	9	27.0	25.0	33.5	35.0	61.5	clip_19
645	8	11.0	47.0	47.0	40.5	40.5	clip_20
674	5	10.0	40.5	36.0	37.0	32.5	clip_21
707	9	7.0	11.5	30.0	22.0	73.5	clip_22
740	7	11.5	16.5	32.5	7.5	76.0	clip_23
776	10	0.0	0.0	19.0	0.0	100.0	clip_24
803	5	0.0	5.5	4.0	0.0	100.0	clip_25
829	7	10.0	6.5	6.5	6.5	82.0	clip_26
864	6	0.0	0.0	35.0	0.0	100.0	clip_27
910	8	8.0	8.0	62.0	12.0	46.5	clip_28
955	10	2.0	10.0	58.5	15.5	62.0	clip_29
972	7	3.5	3.5	61.5	9.5	75.0	clip_30
986	6	0.0	5.0	50.0	3.0	68.0	clip_31
