onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
1	5	4.5	12.0	28.0	5.0	85.0	clip_1
26	5	50.0	68.0	50.0	50.0	50.0	clip_2
51	6	61.5	53.0	59.5	59.5	27.5	clip_3
65	6	45.0	61.0	68.0	37.0	27.5	clip_4
99	9	60.5	63.0	66.0	45.0	39.5	clip_5
132	8	44.0	63.0	69.0	40.0	32.5	clip_6
210	8	19.5	38.0	63.0	32.5	91.0	clip_7
240	9	34.5	45.0	65.5	38.0	56.0	clip_8
263	5	35.5	65.0	68.5	17.5	29.5	clip_9
296	9	35.0	59.5	66.5	33.0	26.0	clip_10
328	6	48.5	63.0	64.0	40.0	30.5	clip_11
376	8	36.0	54.5	61.5	36.0	26.0	clip_12
393	11	38.5	57.0	57.0	43.0	30.0	clip_13
422	9	33.0	23.5	47.5	29.0	81.0	clip_14
466	5	33.5	33.5	44.5	30.0	26.5	clip_15
535	8	33.5	27.5	62.0	35.5	59.0	clip_16
551	8	0.0	0.0	71.0	0.0	100.0	clip_17
574	6	9.0	12.5	63.0	5.0	70.5	clip_18
599	7	31.5	34.5	42.0	33.0	51.0	clip_19
641	8	59.5	41.5	41.5	47.0	36.0	clip_20
