onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
15	6	20.5	10.5	61.5	27.5	61.5	clip_1
38	6	11.5	4.5	49.5	1.0	74.0	clip_2
94	5	55.5	55.5	44.0	57.5	24.5	clip_3
160	8	37.5	56.0	42.5	63.0	65.0	clip_4
190	6	100.0	89.0	42.5	82.0	12.5	clip_5
225	7	62.0	62.0	39.5	64.5	22.0	clip_6
265	7	61.5	61.5	61.5	68.5	21.0	clip_7
298	7	34.0	21.0	51.5	36.5	75.5	clip_8
371	7	50.0	59.0	39.5	63.0	15.0	clip_9
420	5	45.0	54.0	41.5	56.5	20.0	clip_10
452	6	36.0	50.0	34.0	52.0	34.5	clip_11
510	6	44.5	35.5	35.5	53.0	29.5	clip_12
536	6	27.0	20.0	39.5	37.0	65.5	clip_13
575	7	12.5	4.0	39.0	40.0	64.5	clip_14
593	7	0.0	0.0	0.0	0.0	100.0	clip_15
633	7	14.0	11.5	50.0	16.5	68.5	clip_16
663	7	15.0	7.5	68.0	17.0	83.5	clip_17
706	7	57.0	29.0	71.5	58.5	56.5	clip_18
