onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
15	9	50.0	62.5	51.0	46.5	36.5	clip_1
35	5	38.5	61.5	0.0	46.5	23.0	clip_2
63	6	13.0	52.5	0.0	51.5	18.0	clip_3
116	7	54.5	58.0	1.5	51.0	19.0	clip_4
162	8	40.5	48.0	79.5	75.0	50.5	clip_5
185	7	38.5	54.0	88.0	40.0	44.5	clip_6
203	5	64.0	48.0	14.5	50.5	44.5	clip_7
248	7	57.5	35.0	77.5	46.5	32.0	clip_8
286	8	45.5	30.0	50.5	32.5	20.5	clip_9
333	7	37.5	53.5	22.0	63.5	51.5	clip_10
360	7	49.5	28.5	77.0	24.0	46.5	clip_11
383	7	50.0	76.0	17.0	82.5	53.5	clip_12
412	6	51.5	30.5	79.5	33.5	48.0	clip_13
470	9	54.5	40.0	72.5	34.0	31.5	clip_14
517	6	48.5	70.0	38.0	48.5	33.0	clip_15
543	7	48.0	48.5	100.0	40.5	26.5	clip_16
584	8	59.5	56.5	26.0	49.0	37.5	clip_17
627	6	34.5	6.0	75.5	6.0	54.5	clip_18
648	6	46.0	34.5	80.0	47.5	28.5	clip_19
694	7	48.0	9.0	84.5	1.5	69.5	clip_20
743	8	23.5	81.0	6.5	100.0	86.0	clip_21
785	7	33.5	68.5	67.5	80.5	52.5	clip_22
801	6	10.0	75.5	20.0	85.5	74.5	clip_23
