onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
16	5	11.5	53.5	75.0	48.0	45.0	clip_1
48	8	31.5	65.0	37.5	51.5	33.0	clip_2
68	4	46.0	44.5	91.5	49.5	47.0	clip_3
94	7	36.5	63.0	23.0	51.0	45.5	clip_4
116	4	60.0	32.5	73.5	36.0	49.0	clip_5
165	7	0.0	54.0	32.0	51.5	49.5	clip_6
196	6	61.5	38.5	81.5	31.0	52.0	clip_7
232	10	34.0	49.5	0.0	53.0	51.0	clip_8
285	5	55.0	42.5	45.0	50.5	36.0	clip_9
307	7	89.0	19.5	48.0	33.0	61.0	clip_10
355	10	68.5	34.5	50.5	37.0	64.5	clip_11
384	9	91.0	9.0	52.0	12.5	76.5	clip_12
