onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
27	7	50.0	29.0	53.5	38.5	57.5	clip_1
55	6	18.5	50.0	87.5	47.5	26.5	clip_2
80	8	50.0	23.0	79.5	20.0	49.0	clip_3
103	6	60.5	51.5	81.0	42.0	42.5	clip_4
135	8	100.0	39.0	0.0	26.5	48.0	clip_5
184	6	53.5	0.0	82.5	12.5	51.0	clip_6
224	8	50.0	33.0	51.0	45.0	48.5	clip_7
251	10	46.0	16.5	61.5	33.0	66.0	clip_8
282	8	50.0	50.0	0.0	42.0	15.5	clip_9
316	5	50.0	49.0	52.0	27.5	29.5	clip_10
354	8	46.0	46.0	100.0	68.5	76.5	clip_11
372	6	50.0	50.0	22.5	51.5	60.5	clip_12
405	5	100.0	0.0	49.0	0.0	80.5	clip_13
442	7	95.0	0.0	31.5	0.0	78.0	clip_14
485	5	25.0	3.5	90.5	0.0	69.5	clip_15
