onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
19	5	59.0	38.0	75.5	47.0	58.0	clip_1
60	6	0.0	78.0	20.0	72.0	42.0	clip_2
95	5	22.0	0.0	75.0	0.0	36.5	clip_3
131	5	20.5	46.0	73.0	48.0	36.5	clip_4
147	6	35.0	52.5	17.0	48.5	29.0	clip_5
176	6	16.0	55.0	85.0	66.0	34.0	clip_6
210	5	53.0	28.0	70.0	53.5	36.5	clip_7
233	5	47.0	47.0	73.5	58.5	54.5	clip_8
255	7	33.0	67.5	30.0	55.0	62.5	clip_9
286	6	83.5	45.5	8.5	49.0	32.0	clip_10
343	5	68.5	49.0	100.0	51.5	31.5	clip_11
385	8	70.0	38.5	83.0	44.0	62.0	clip_12
412	8	54.5	37.0	76.0	0.0	72.5	clip_13
465	7	33.5	75.5	9.5	78.0	41.5	clip_14
518	6	0.0	49.5	49.5	49.5	0.0	clip_15
555	5	35.5	50.5	0.0	53.0	27.5	clip_16
594	7	29.5	70.0	33.0	65.5	43.5	clip_17
611	7	0.0	95.5	29.0	100.0	49.0	clip_18
633	7	100.0	47.5	100.0	0.0	71.5	clip_19
666	4	57.5	23.5	73.5	42.5	61.0	clip_20
701	9	31.0	50.5	61.0	41.0	47.5	clip_21
740	8	79.5	35.5	73.5	25.0	76.0	clip_22
778	9	60.0	11.0	55.5	0.0	58.0	clip_23
799	7	50.0	18.5	48.5	0.0	67.0	clip_24
839	5	26.0	15.5	51.0	20.5	59.5	clip_25
894	6	65.0	39.0	52.0	25.5	56.0	clip_26
962	7	49.0	23.5	51.5	18.0	52.0	clip_27
1002	8	50.0	2.0	80.0	0.0	89.5	clip_28
1022	5	46.5	46.5	28.0	48.0	42.0	clip_29
