onset	duration	Sad	Oppose	Surprise	Disgust	Smile	trial
30	6	0.0	0.0	62.5	0.0	49.5	clip_1
50	7	0.0	0.0	0.0	0.0	0.0	clip_2
71	5	0.0	0.0	0.0	0.0	0.0	clip_3
98	10	32.5	0.0	0.0	0.0	0.0	clip_4
128	5	0.0	0.0	0.0	0.0	64.0	clip_5
152	7	0.0	20.5	0.0	0.0	0.0	clip_6
195	8	68.5	38.5	0.0	16.5	0.0	clip_7
221	9	69.0	57.5	57.5	55.5	0.0	clip_8
255	5	0.0	0.0	0.0	0.0	0.0	clip_9
298	10	0.0	0.0	0.0	0.0	0.0	clip_10
336	4	0.0	0.0	0.0	0.0	63.0	clip_11
350	9	59.0	0.0	0.0	0.0	0.0	clip_12
376	9	0.0	100.0	100.0	100.0	0.0	clip_13
428	10	50.0	68.0	0.0	60.0	0.0	clip_14
455	4	0.0	44.0	20.5	24.0	0.0	clip_15
484	8	0.0	51.0	0.0	0.0	12.0	clip_16
510	10	26.0	44.5	13.5	0.0	0.0	clip_17
532	8	0.0	0.0	0.0	0.0	0.0	clip_18
553	7	0.0	0.0	26.5	0.0	100.0	clip_19
582	8	0.0	0.0	0.0	0.0	0.0	clip_20
