onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
15	9	73.5	73.5	35.5	17.0	17.0	clip_1
35	5	68.0	0.0	73.5	13.5	68.5	clip_2
63	6	38.0	50.5	28.0	66.0	79.0	clip_3
116	7	13.5	72.0	25.0	71.5	73.0	clip_4
162	8	50.0	54.5	21.5	62.0	32.5	clip_5
185	7	33.0	44.5	46.5	60.0	81.0	clip_6
203	5	45.0	54.5	0.0	68.0	87.0	clip_7
248	7	63.0	0.0	23.5	3.0	64.0	clip_8
286	8	79.5	14.0	14.0	8.0	80.5	clip_9
333	7	42.5	22.0	22.0	47.5	95.0	clip_10
360	7	50.0	12.5	12.5	56.5	49.5	clip_11
383	7	33.0	52.0	52.0	62.5	100.0	clip_12
412	6	50.0	0.0	0.0	0.0	49.0	clip_13
470	9	28.5	56.5	12.5	64.0	78.0	clip_14
517	6	55.5	24.5	24.5	52.0	100.0	clip_15
543	7	50.0	50.0	40.0	68.5	100.0	clip_16
584	8	52.0	58.5	58.5	63.0	63.0	clip_17
627	6	28.0	47.5	47.5	64.5	100.0	clip_18
648	6	50.0	46.0	46.0	54.5	65.0	clip_19
694	7	53.0	81.0	67.0	67.0	97.5	clip_20
743	8	56.5	63.0	68.0	53.0	100.0	clip_21
785	7	50.0	58.5	58.5	33.0	100.0	clip_22
801	6	50.0	25.5	25.5	42.0	81.0	clip_23
