onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
2	6	50.0	49.0	49.0	49.0	49.0	clip_1
23	5	50.0	50.0	50.0	50.0	50.0	clip_2
66	6	40.0	40.0	40.0	57.5	60.5	clip_3
85	7	42.0	45.0	49.0	52.5	55.5	clip_4
106	6	50.0	50.0	50.0	50.0	50.0	clip_5
124	6	40.5	56.0	51.0	64.0	67.0	clip_6
148	6	64.0	32.0	51.0	26.0	50.5	clip_7
170	10	50.0	50.0	50.0	50.0	50.0	clip_8
195	10	50.0	50.0	50.0	58.5	68.0	clip_9
238	8	50.0	57.5	44.0	64.5	64.5	clip_10
264	8	41.5	61.0	41.0	62.5	62.5	clip_11
294	9	40.0	55.5	40.5	62.0	62.0	clip_12
335	8	43.0	50.5	3.5	61.0	61.0	clip_13
359	5	50.0	50.0	50.0	50.0	50.0	clip_14
395	6	50.0	50.0	50.0	50.0	50.0	clip_15
