onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
9	4	64.0	2.5	68.0	13.5	44.0	clip_1
37	8	50.0	26.0	26.0	50.0	70.0	clip_2
58	4	39.0	0.0	46.0	51.0	61.0	clip_3
80	4	36.0	0.0	83.0	62.5	81.0	clip_4
104	10	50.0	18.5	61.5	55.0	64.5	clip_5
134	7	45.5	38.5	35.5	46.5	59.5	clip_6
155	5	50.0	16.5	48.5	35.5	72.0	clip_7
188	6	50.0	27.5	83.5	61.0	75.5	clip_8
209	8	55.0	29.5	61.0	32.0	77.0	clip_9
237	8	50.0	27.0	71.0	45.5	74.5	clip_10
279	9	44.5	18.0	60.5	56.0	56.0	clip_11
307	5	44.5	27.5	69.0	54.0	71.0	clip_12
358	6	46.0	10.5	56.0	0.0	0.0	clip_13
374	9	40.0	17.0	0.0	49.0	74.5	clip_14
395	9	45.0	11.5	2.5	51.0	74.0	clip_15
432	8	50.0	5.5	38.5	43.0	65.5	clip_16
488	5	53.5	21.5	48.5	31.5	45.5	clip_17
512	8	53.5	41.5	34.0	34.0	64.0	clip_18
535	5	54.5	22.0	47.5	26.5	87.0	clip_19
576	6	61.5	6.5	48.0	28.5	88.0	clip_20
