onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
16	5	44.5	56.5	61.0	43.0	29.0	clip_1
48	8	0.0	100.0	100.0	53.5	45.5	clip_2
68	4	39.0	39.0	42.0	42.0	42.0	clip_3
94	7	24.5	100.0	22.5	28.5	28.5	clip_4
116	4	35.5	48.0	36.5	36.5	36.5	clip_5
165	7	0.0	100.0	0.0	0.0	0.0	clip_6
196	6	54.0	71.5	68.5	48.5	29.5	clip_7
232	10	19.0	79.0	52.5	41.0	16.5	clip_8
285	5	55.5	64.5	67.5	60.5	24.5	clip_9
307	7	58.5	62.0	68.0	64.5	62.0	clip_10
355	10	55.5	63.5	54.5	51.5	55.0	clip_11
384	9	59.5	62.0	62.0	70.5	68.0	clip_12
