onset	duration	Stomach	Standards	Eyebrows	Love	Support	trial
2	6	4.0	13.5	4.0	0.0	0.0	clip_1
23	5	23.0	27.0	13.5	0.0	0.0	clip_2
66	6	20.5	23.5	15.0	7.5	0.5	clip_3
85	7	29.0	21.0	11.0	0.0	0.0	clip_4
106	6	31.5	31.5	23.5	36.5	0.0	clip_5
124	6	21.0	53.0	29.5	18.5	0.0	clip_6
148	6	6.5	28.0	17.5	0.0	0.0	clip_7
170	10	26.5	35.5	27.5	43.5	0.0	clip_8
195	10	25.0	27.0	18.0	14.0	0.0	clip_9
238	8	30.5	21.0	33.0	23.5	0.0	clip_10
264	8	33.5	44.0	29.5	18.0	0.0	clip_11
294	9	8.5	35.0	26.0	59.0	0.0	clip_12
335	8	17.5	27.5	18.5	10.5	0.0	clip_13
359	5	0.0	0.0	0.0	0.0	0.0	clip_14
395	6	0.0	0.0	0.0	0.0	0.0	clip_15
