onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
4	5	91.0	18.0	68.0	49.5	48.0	clip_1
44	6	67.5	56.0	44.0	55.0	50.5	clip_2
71	6	50.0	33.5	46.5	45.5	48.0	clip_3
118	8	66.0	37.0	47.0	49.0	49.0	clip_4
142	7	73.0	73.0	60.5	63.5	67.5	clip_5
168	5	52.0	52.0	57.0	64.5	64.5	clip_6
201	8	67.5	56.5	56.5	64.0	74.0	clip_7
232	6	59.0	55.0	55.0	52.0	50.0	clip_8
267	8	56.0	56.0	62.5	59.0	59.0	clip_9
308	7	68.5	26.5	47.0	69.5	69.5	clip_10
341	10	65.0	56.5	45.5	61.0	51.5	clip_11
404	9	61.5	50.5	58.0	58.0	76.5	clip_12
440	8	63.0	54.0	55.5	58.5	58.5	clip_13
473	7	66.0	36.5	53.5	52.5	51.5	clip_14
510	9	54.5	45.5	75.5	72.5	79.0	clip_15
547	4	60.5	55.0	55.0	71.5	71.5	clip_16
596	9	55.0	60.5	55.0	68.0	43.5	clip_17
638	6	58.0	62.0	38.0	63.0	42.5	clip_18
662	5	57.0	54.0	41.5	41.5	43.5	clip_19
690	8	51.5	62.0	22.5	78.0	18.5	clip_20
720	7	31.0	63.0	29.5	75.5	42.5	clip_21
750	8	55.0	64.5	32.5	44.5	40.0	clip_22
777	5	34.0	69.0	24.5	70.0	24.0	clip_23
799	5	50.0	30.5	34.5	73.0	36.5	clip_24
