onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
16	5	100.0	10.0	84.5	64.5	39.0	clip_1
45	6	95.0	23.0	84.5	22.0	83.0	clip_2
80	6	77.5	69.5	56.0	82.0	40.5	clip_3
110	7	71.5	60.0	60.5	40.5	40.5	clip_4
140	6	68.0	59.5	55.5	61.0	48.0	clip_5
173	7	46.5	75.5	32.0	77.5	37.5	clip_6
193	6	50.5	85.5	26.5	82.5	18.5	clip_7
225	5	53.0	78.0	29.5	69.5	20.0	clip_8
243	5	98.5	19.5	85.0	81.5	87.5	clip_9
250	8	94.5	18.0	87.5	87.5	69.0	clip_10
270	4	87.0	6.0	93.0	92.0	92.0	clip_11
310	6	62.0	62.0	39.5	78.0	52.5	clip_12
328	10	50.0	78.5	15.0	84.0	16.0	clip_13
360	6	71.5	56.0	56.5	88.0	17.5	clip_14
397	7	65.5	32.5	58.0	73.0	48.0	clip_15
440	5	61.5	54.5	60.5	78.0	25.0	clip_16
452	8	54.0	54.0	71.0	77.0	33.5	clip_17
478	6	77.0	12.5	95.5	95.0	54.5	clip_18
