onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
30	6	73.0	21.0	53.5	53.5	13.0	clip_1
50	7	84.5	50.0	55.0	61.5	14.0	clip_2
71	5	79.5	49.5	57.5	60.5	1.5	clip_3
98	10	37.0	19.5	64.0	64.0	3.5	clip_4
128	5	60.5	24.0	58.0	64.0	16.0	clip_5
152	7	3.5	3.5	74.0	39.0	18.5	clip_6
195	8	0.0	0.0	70.0	42.0	11.0	clip_7
221	9	0.0	10.5	65.5	48.5	23.0	clip_8
255	5	36.5	12.0	52.5	52.5	6.0	clip_9
298	10	36.5	19.0	66.0	31.5	16.5	clip_10
336	4	74.5	15.0	46.5	39.0	3.5	clip_11
350	9	50.0	5.5	44.0	54.5	7.5	clip_12
376	9	8.5	5.0	57.5	51.5	3.0	clip_13
428	10	62.0	40.0	46.0	51.0	4.5	clip_14
455	4	25.0	25.5	71.5	64.0	6.0	clip_15
484	8	35.0	17.5	33.0	40.0	4.0	clip_16
510	10	75.5	13.0	67.0	33.0	19.5	clip_17
532	8	86.5	50.0	59.5	49.0	19.0	clip_18
553	7	20.0	13.0	76.5	24.0	26.0	clip_19
582	8	60.0	34.0	28.5	34.0	11.5	clip_20
