onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
15	6	1.5	0.0	99.0	23.0	23.0	clip_1
38	6	3.0	0.0	83.5	2.5	58.0	clip_2
94	5	50.0	16.0	71.0	33.0	0.0	clip_3
160	8	8.0	0.0	79.5	18.5	18.5	clip_4
190	6	72.0	62.5	97.5	54.0	2.0	clip_5
225	7	71.5	75.0	75.0	82.5	0.5	clip_6
265	7	94.0	94.0	94.0	82.5	0.0	clip_7
298	7	0.0	0.0	100.0	17.5	0.0	clip_8
371	7	1.0	0.0	32.0	19.0	3.5	clip_9
420	5	0.0	0.0	93.5	24.0	4.5	clip_10
452	6	50.0	11.5	60.0	62.5	2.5	clip_11
510	6	2.5	2.5	96.5	18.5	25.5	clip_12
536	6	0.0	0.0	89.0	2.0	28.5	clip_13
575	7	0.0	0.0	100.0	4.0	41.5	clip_14
593	7	0.0	0.0	95.5	0.0	65.5	clip_15
633	7	0.0	0.0	85.5	5.0	61.0	clip_16
663	7	0.0	0.5	57.5	29.5	13.0	clip_17
706	7	0.0	0.0	49.0	34.0	17.0	clip_18
