onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
1	5	0.0	0.0	72.5	2.0	67.0	clip_1
26	5	50.0	18.5	67.0	31.5	5.5	clip_2
51	6	75.0	46.0	59.5	41.5	5.5	clip_3
65	6	18.0	18.0	60.5	35.0	4.0	clip_4
99	9	11.0	0.0	57.5	36.5	5.5	clip_5
132	8	10.5	0.5	67.0	15.0	8.5	clip_6
210	8	0.0	0.0	55.0	7.5	48.0	clip_7
240	9	13.0	0.0	61.5	61.5	2.0	clip_8
263	5	45.0	22.5	54.5	38.5	4.5	clip_9
296	9	26.0	11.0	40.5	28.5	9.5	clip_10
328	6	74.5	30.0	49.0	41.0	4.0	clip_11
376	8	25.5	10.5	42.5	51.0	15.0	clip_12
393	11	14.0	8.0	69.5	48.5	24.0	clip_13
422	9	0.0	0.0	80.5	12.0	20.5	clip_14
466	5	2.0	2.0	68.5	17.5	29.0	clip_15
535	8	18.0	3.0	63.5	23.0	14.0	clip_16
551	8	0.0	0.0	77.5	4.0	63.0	clip_17
574	6	4.0	0.0	87.0	20.0	39.0	clip_18
599	7	67.5	14.5	60.5	34.0	1.0	clip_19
641	8	95.0	54.0	48.0	48.0	4.5	clip_20
