onset	duration	PleasantOther	Smile	Attention	AtEase	Stomach	trial
15	9	60.5	66.5	69.5	71.5	2.0	clip_1
35	5	94.0	94.0	88.0	89.0	1.0	clip_2
63	6	61.0	45.0	63.0	79.5	2.0	clip_3
116	7	29.5	29.5	77.0	68.5	13.5	clip_4
162	8	68.5	68.5	81.5	83.0	0.5	clip_5
185	7	14.0	13.5	67.0	70.5	8.5	clip_6
203	5	58.5	18.0	68.5	54.5	3.5	clip_7
248	7	2.0	2.0	2.0	46.0	6.0	clip_8
286	8	4.0	4.0	65.5	65.5	0.0	clip_9
333	7	21.0	18.0	64.5	64.5	4.0	clip_10
360	7	2.0	2.0	78.5	36.5	4.5	clip_11
383	7	12.0	12.0	72.5	13.0	13.0	clip_12
412	6	10.5	1.5	75.5	33.5	5.5	clip_13
470	9	13.5	27.0	66.5	47.0	9.5	clip_14
517	6	8.5	3.0	71.0	33.0	1.5	clip_15
543	7	4.0	4.0	63.0	41.5	3.5	clip_16
584	8	36.0	8.0	66.0	35.5	1.5	clip_17
627	6	2.0	2.0	59.0	28.5	7.5	clip_18
648	6	13.5	4.0	69.0	27.0	17.0	clip_19
694	7	41.5	18.5	64.5	31.5	0.0	clip_20
743	8	81.0	63.0	59.5	71.5	1.5	clip_21
785	7	88.5	88.5	81.5	73.0	0.0	clip_22
801	6	98.0	92.0	83.5	89.0	1.5	clip_23
