onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
16	5	9.0	30.5	1.5	46.0	99.5	clip_1
45	6	6.5	93.0	4.5	52.5	98.0	clip_2
80	6	3.5	18.5	68.5	9.0	33.5	clip_3
110	7	30.0	64.5	53.5	5.0	23.0	clip_4
140	6	58.0	38.0	51.5	3.0	49.0	clip_5
173	7	21.0	0.5	87.0	2.0	30.0	clip_6
193	6	63.0	0.0	100.0	0.0	1.0	clip_7
225	5	67.5	0.0	92.0	1.5	15.5	clip_8
243	5	34.5	57.5	24.0	0.5	18.5	clip_9
250	8	54.0	62.5	21.0	9.0	63.5	clip_10
270	4	1.0	98.0	0.0	59.0	100.0	clip_11
310	6	39.0	56.5	68.0	37.5	26.0	clip_12
328	10	33.0	33.5	57.5	14.5	20.5	clip_13
360	6	5.0	74.0	10.5	50.0	84.0	clip_14
397	7	5.0	62.5	0.5	26.0	87.0	clip_15
440	5	76.0	31.5	74.5	7.5	3.5	clip_16
452	8	5.5	99.0	29.0	20.0	65.5	clip_17
478	6	11.5	50.0	55.0	10.0	61.0	clip_18
