onset	duration	Urgency	SocialNorms	Lips	Satisfaction	IntenseEmotion	trial
8	4	3.0	57.0	85.0	46.0	22.0	clip_1
51	8	0.0	48.5	19.0	37.0	0.0	clip_2
80	6	32.5	50.0	50.0	38.5	19.5	clip_3
108	6	15.0	67.0	18.5	40.0	15.0	clip_4
156	3	46.5	53.0	27.5	50.0	22.0	clip_5
209	5	64.0	49.0	74.0	40.5	40.5	clip_6
228	7	50.0	41.5	64.5	26.0	26.0	clip_7
252	6	25.0	22.0	33.5	10.0	21.5	clip_8
288	6	0.0	48.5	60.0	45.5	25.0	clip_9
330	6	50.0	50.0	82.5	22.0	27.5	clip_10
355	8	67.5	38.5	32.5	15.5	11.0	clip_11
390	6	51.0	46.0	77.0	27.5	31.0	clip_12
440	8	50.0	47.0	72.5	28.0	40.5	clip_13
468	9	20.0	46.0	14.0	25.5	25.5	clip_14
501	6	37.5	42.0	42.0	32.0	19.0	clip_15
543	6	30.5	43.5	20.5	32.5	8.5	clip_16
569	8	50.0	50.0	72.5	19.5	47.5	clip_17
611	8	26.5	52.0	80.0	38.5	0.0	clip_18
645	8	50.0	50.0	0.0	50.0	17.5	clip_19
675	8	24.5	47.5	68.5	35.5	35.5	clip_20
719	6	70.5	76.0	90.5	65.5	37.5	clip_21
762	8	47.0	47.0	22.0	38.0	26.5	clip_22
790	5	23.0	50.5	48.5	39.5	49.0	clip_23
