onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
30	6	0.0	0.0	0.0	0.0	0.0	clip_1
50	7	0.0	0.0	0.0	0.0	0.0	clip_2
71	5	0.0	0.0	0.0	0.0	0.0	clip_3
98	10	0.0	0.0	0.0	0.0	0.0	clip_4
128	5	0.0	0.0	0.0	0.0	0.0	clip_5
152	7	0.0	0.0	0.0	0.0	0.0	clip_6
195	8	0.0	0.0	0.0	0.0	0.0	clip_7
221	9	0.0	0.0	0.0	0.0	0.0	clip_8
255	5	0.0	0.0	0.0	0.0	0.0	clip_9
298	10	0.0	0.0	0.0	0.0	0.0	clip_10
336	4	0.0	0.0	0.0	0.0	0.0	clip_11
350	9	0.0	0.0	0.0	0.0	0.0	clip_12
376	9	0.0	0.0	0.0	0.0	0.0	clip_13
428	10	0.5	0.5	0.5	0.5	0.5	clip_14
455	4	0.5	0.5	0.5	0.5	0.5	clip_15
484	8	0.0	0.0	0.0	0.0	0.0	clip_16
510	10	0.0	0.0	0.0	0.0	24.5	clip_17
532	8	0.0	0.0	0.0	0.0	32.0	clip_18
553	7	0.0	0.0	0.0	0.0	0.0	clip_19
582	8	0.5	0.5	0.5	0.5	0.5	clip_20
