onset	duration	Support	Alert	Stomach	Fear	SocialNorms	trial
15	9	0	0	0	0	0	clip_1
35	5	0	0	0	0	0	clip_2
63	6	0	0	0	0	0	clip_3
116	7	0	0	0	0	0	clip_4
162	8	0	0	0	0	0	clip_5
185	7	0	0	0	0	0	clip_6
203	5	0	0	0	0	0	clip_7
248	7	0	0	0	0	0	clip_8
286	8	0	0	0	0	0	clip_9
333	7	0	0	0	0	0	clip_10
360	7	0	0	0	0	0	clip_11
383	7	0	0	0	0	0	clip_12
412	6	0	0	0	0	0	clip_13
470	9	0	0	0	0	0	clip_14
517	6	0	0	0	0	0	clip_15
543	7	0	0	0	0	0	clip_16
584	8	0	0	0	0	0	clip_17
627	6	0	0	0	0	0	clip_18
648	6	0	0	0	0	0	clip_19
694	7	0	0	0	0	0	clip_20
743	8	0	0	0	0	0	clip_21
785	7	0	0	0	0	0	clip_22
801	6	0	0	0	0	0	clip_23
