onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
15	9	0.0	21.0	0.0	0.0	51.5	clip_1
35	5	0.0	0.0	0.0	0.0	41.0	clip_2
63	6	0.0	0.0	0.0	0.0	61.0	clip_3
116	7	16.0	0.0	14.5	16.0	53.0	clip_4
162	8	0.0	0.0	15.0	26.0	57.0	clip_5
185	7	0.0	0.0	33.0	48.0	56.0	clip_6
203	5	0.0	0.5	25.0	36.0	61.5	clip_7
248	7	0.0	0.0	18.5	10.5	40.0	clip_8
286	8	0.0	0.0	36.5	0.0	45.0	clip_9
333	7	0.0	0.0	0.0	0.0	44.0	clip_10
360	7	5.0	0.0	9.0	14.0	63.5	clip_11
383	7	11.5	14.0	20.5	48.0	66.0	clip_12
412	6	0.0	0.0	0.0	0.0	52.0	clip_13
470	9	0.0	0.0	8.0	25.0	58.0	clip_14
517	6	0.0	0.0	35.5	0.0	75.0	clip_15
543	7	1.0	0.0	3.5	17.5	49.5	clip_16
584	8	0.0	0.0	0.0	10.0	51.0	clip_17
627	6	0.0	0.0	0.0	23.0	43.0	clip_18
648	6	4.5	1.5	11.5	61.5	72.0	clip_19
694	7	0.0	0.0	6.0	56.5	71.5	clip_20
743	8	0.0	0.0	7.5	0.0	45.5	clip_21
785	7	0.0	0.0	19.0	0.0	80.5	clip_22
801	6	0.0	0.0	15.0	0.0	26.5	clip_23
