onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
19	5	66.0	0.0	56.0	59.0	100.0	clip_1
60	6	33.5	0.0	2.0	19.0	100.0	clip_2
95	5	27.0	0.0	17.0	35.5	68.5	clip_3
131	5	0.0	0.0	0.5	24.5	55.5	clip_4
147	6	23.0	0.0	18.5	45.0	48.5	clip_5
176	6	0.0	0.0	6.0	43.5	69.0	clip_6
210	5	28.5	0.0	17.5	59.5	72.0	clip_7
233	5	62.5	0.0	40.0	51.5	62.5	clip_8
255	7	59.5	27.5	20.5	37.0	54.5	clip_9
286	6	53.5	0.0	24.5	58.5	79.5	clip_10
343	5	20.0	0.0	0.0	52.0	49.0	clip_11
385	8	30.0	17.5	20.5	30.0	65.5	clip_12
412	8	33.5	51.5	24.0	45.0	60.5	clip_13
465	7	24.0	12.0	9.0	23.5	23.5	clip_14
518	6	0.0	0.0	6.5	39.5	49.5	clip_15
555	5	28.0	13.0	2.5	28.5	52.5	clip_16
594	7	14.5	0.0	0.0	41.0	66.0	clip_17
611	7	15.5	0.0	46.0	20.5	20.5	clip_18
633	7	73.0	0.0	57.0	78.0	91.0	clip_19
666	4	66.5	0.0	49.5	81.5	95.5	clip_20
701	9	71.0	0.5	53.0	59.5	71.5	clip_21
740	8	69.0	0.0	58.0	66.0	88.0	clip_22
778	9	65.0	0.0	46.5	75.0	100.0	clip_23
799	7	43.5	0.0	37.5	96.0	100.0	clip_24
839	5	20.0	0.0	32.0	100.0	100.0	clip_25
894	6	35.5	0.0	26.0	91.5	100.0	clip_26
962	7	40.0	0.0	35.5	100.0	100.0	clip_27
1002	8	51.5	1.0	68.0	100.0	100.0	clip_28
1022	5	41.0	0.5	60.0	100.0	100.0	clip_29
