onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
30	6	8.5	18.5	44.0	0.0	93.5	clip_1
50	7	9.0	16.5	34.0	0.0	96.5	clip_2
71	5	0.0	0.0	0.0	0.0	88.0	clip_3
98	10	0.0	0.0	0.0	0.0	51.5	clip_4
128	5	0.0	0.0	0.0	0.0	50.5	clip_5
152	7	0.0	0.0	15.5	8.5	16.5	clip_6
195	8	6.0	0.0	44.0	17.5	5.0	clip_7
221	9	18.5	0.5	10.5	30.0	70.5	clip_8
255	5	27.5	0.0	27.5	22.5	70.5	clip_9
298	10	23.0	0.0	16.0	12.5	83.5	clip_10
336	4	23.0	0.0	16.0	24.0	67.5	clip_11
350	9	22.5	0.0	12.0	19.0	52.5	clip_12
376	9	24.0	0.5	20.5	25.5	25.5	clip_13
428	10	3.0	0.0	0.0	0.0	49.0	clip_14
455	4	0.0	0.0	0.0	0.0	45.5	clip_15
484	8	13.0	0.5	9.5	0.0	51.0	clip_16
510	10	0.0	0.0	14.0	4.5	50.5	clip_17
532	8	8.5	0.0	31.5	0.0	65.5	clip_18
553	7	20.5	8.5	23.5	3.0	43.0	clip_19
582	8	0.0	0.0	13.5	0.0	74.5	clip_20
