onset	duration	Anxiety	Guilt	IntenseEmotion	Sad	Regard	trial
27	7	76.5	23.0	68.5	64.0	44.5	clip_1
55	6	37.5	48.0	63.5	35.5	40.0	clip_2
80	8	0.0	0.0	13.0	13.0	30.5	clip_3
103	6	33.0	22.5	58.0	50.0	61.5	clip_4
135	8	59.0	48.5	69.0	66.5	51.5	clip_5
184	6	64.0	33.0	49.5	65.0	83.5	clip_6
224	8	42.5	59.0	60.0	73.0	82.0	clip_7
251	10	33.0	62.5	46.5	63.5	100.0	clip_8
282	8	25.5	42.5	54.0	58.5	100.0	clip_9
316	5	12.0	7.5	42.0	6.5	100.0	clip_10
354	8	62.5	26.5	34.0	43.0	25.5	clip_11
372	6	67.0	40.0	34.0	20.5	49.5	clip_12
405	5	76.0	63.5	78.5	53.5	92.5	clip_13
442	7	65.5	79.0	67.5	91.5	100.0	clip_14
485	5	75.0	100.0	65.0	91.5	100.0	clip_15
