onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
3	7	78.0	39.5	43.5	48.5	27.0	clip_1
44	7	50.0	58.0	56.0	66.5	59.5	clip_2
76	5	73.5	43.0	56.5	56.5	48.0	clip_3
95	8	51.5	59.5	59.5	58.5	49.0	clip_4
139	8	65.5	27.5	58.0	58.5	51.0	clip_5
193	9	84.0	84.0	53.5	74.0	46.0	clip_6
230	7	87.5	66.0	57.5	57.5	41.5	clip_7
270	10	79.5	59.5	35.5	55.0	40.5	clip_8
316	9	86.0	31.5	65.0	38.5	61.0	clip_9
360	8	74.5	51.5	51.5	76.5	44.0	clip_10
420	10	86.0	68.0	53.0	44.0	44.0	clip_11
466	8	85.0	62.5	66.5	63.5	47.5	clip_12
493	8	77.0	41.0	58.5	74.0	51.5	clip_13
525	9	87.0	67.0	59.0	35.5	38.5	clip_14
559	5	58.0	39.5	49.5	49.5	49.5	clip_15
576	8	88.0	64.5	75.0	36.0	41.5	clip_16
590	4	78.5	34.5	62.5	31.0	41.5	clip_17
628	8	81.5	60.0	40.5	36.0	43.0	clip_18
653	5	82.0	82.0	49.5	49.0	49.0	clip_19
670	6	79.5	52.0	52.0	34.0	36.0	clip_20
689	3	78.5	66.0	68.0	68.0	44.5	clip_21
721	6	79.5	57.5	70.5	51.0	41.0	clip_22
737	5	72.5	57.0	54.0	67.0	38.5	clip_23
766	8	80.0	44.5	41.0	29.5	24.5	clip_24
