onset	duration	Care	Disgust	Regard	Undo	Move	trial
15	9	79.0	0.0	74.0	27.0	52.5	clip_1
35	5	74.5	4.5	72.5	22.0	56.0	clip_2
63	6	80.0	23.0	74.5	67.5	67.5	clip_3
116	7	100.0	0.0	74.0	74.0	58.0	clip_4
162	8	100.0	9.5	75.0	38.0	60.5	clip_5
185	7	100.0	0.5	80.0	80.0	65.0	clip_6
203	5	50.0	1.5	67.5	67.5	61.5	clip_7
248	7	100.0	21.0	82.5	82.5	69.0	clip_8
286	8	84.0	18.0	76.0	76.0	76.0	clip_9
333	7	99.0	1.5	72.5	72.5	72.5	clip_10
360	7	100.0	0.0	87.5	70.5	70.5	clip_11
383	7	87.0	49.0	49.0	84.5	84.5	clip_12
412	6	97.5	36.5	52.5	77.5	77.5	clip_13
470	9	100.0	32.5	51.0	74.5	74.5	clip_14
517	6	99.0	22.5	60.0	83.5	83.5	clip_15
543	7	100.0	53.0	75.5	75.5	75.5	clip_16
584	8	100.0	47.0	47.0	79.5	79.5	clip_17
627	6	97.5	59.5	32.0	87.5	87.5	clip_18
648	6	97.5	15.0	50.5	85.5	54.0	clip_19
694	7	100.0	31.0	64.5	35.0	71.5	clip_20
743	8	83.0	27.0	64.0	43.0	63.5	clip_21
785	7	79.5	3.5	78.5	28.0	38.0	clip_22
801	6	89.5	16.0	69.0	36.5	47.5	clip_23
