onset	duration	Care	Disgust	Regard	Undo	Move	trial
2	6	57.0	27.5	51.0	51.0	51.0	clip_1
23	5	76.0	13.0	76.0	35.0	35.0	clip_2
66	6	81.0	15.0	49.5	31.0	9.0	clip_3
85	7	83.0	16.5	65.5	58.0	13.0	clip_4
106	6	83.0	38.5	47.0	47.0	7.0	clip_5
124	6	83.0	21.0	66.0	45.5	30.0	clip_6
148	6	25.5	82.0	19.0	43.5	22.5	clip_7
170	10	80.0	27.0	60.0	43.5	12.0	clip_8
195	10	80.0	19.5	45.0	69.5	40.0	clip_9
238	8	87.5	15.5	77.5	54.5	20.5	clip_10
264	8	98.0	6.0	69.5	69.5	48.0	clip_11
294	9	99.5	0.0	99.5	99.5	29.0	clip_12
335	8	100.0	12.5	34.0	77.0	56.5	clip_13
359	5	94.5	8.0	58.5	80.0	80.0	clip_14
395	6	90.0	34.5	59.0	86.0	12.5	clip_15
