onset	duration	Urgency	Tears	Anger	Eyebrows	Throat	trial
2	6	0.0	0.0	0.0	0.0	0.0	clip_1
23	5	0.0	0.0	0.0	0.0	0.0	clip_2
66	6	0.0	0.0	0.0	0.0	0.0	clip_3
85	7	0.0	0.0	0.0	0.0	0.0	clip_4
106	6	45.0	0.0	0.0	0.0	0.0	clip_5
124	6	0.0	0.0	0.0	0.0	0.0	clip_6
148	6	0.0	0.0	0.0	0.0	0.0	clip_7
170	10	0.0	0.0	0.0	0.0	0.0	clip_8
195	10	0.0	0.0	0.0	0.0	0.0	clip_9
238	8	0.0	0.0	0.0	0.0	0.0	clip_10
264	8	0.0	0.0	0.0	0.0	55.0	clip_11
294	9	0.5	100.0	0.0	0.0	100.0	clip_12
335	8	77.0	100.0	0.0	0.0	96.0	clip_13
359	5	0.0	100.0	0.0	0.0	100.0	clip_14
395	6	0.0	100.0	0.0	0.0	100.0	clip_15
