onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
15	6	32.5	0.0	51.0	59.5	66.5	clip_1
38	6	54.0	54.0	54.0	54.0	54.0	clip_2
94	5	50.0	50.0	50.0	50.0	66.5	clip_3
160	8	38.5	48.0	55.0	47.5	76.0	clip_4
190	6	82.5	48.5	48.5	38.0	68.0	clip_5
225	7	55.5	45.5	48.0	45.0	71.5	clip_6
265	7	56.5	41.5	51.0	37.5	63.0	clip_7
298	7	35.0	52.0	49.0	49.0	49.0	clip_8
371	7	50.0	50.0	50.0	50.0	92.0	clip_9
420	5	38.0	52.0	52.0	59.5	78.5	clip_10
452	6	50.0	50.0	50.0	50.0	63.0	clip_11
510	6	50.0	50.0	50.0	65.5	77.0	clip_12
536	6	41.5	55.0	39.0	58.0	66.5	clip_13
575	7	21.5	60.0	47.5	71.0	78.0	clip_14
593	7	27.0	60.5	39.0	67.5	77.5	clip_15
633	7	40.0	60.0	60.0	68.0	75.0	clip_16
663	7	39.0	58.5	46.5	68.0	54.5	clip_17
706	7	66.5	40.5	62.0	66.5	68.0	clip_18
