onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
19	5	50.0	50.0	50.0	50.0	50.0	clip_1
60	6	69.5	25.0	51.5	28.0	67.5	clip_2
95	5	35.0	42.5	48.5	61.5	71.5	clip_3
131	5	57.0	35.0	35.0	37.5	54.5	clip_4
147	6	50.0	50.0	50.0	50.0	50.0	clip_5
176	6	62.0	35.0	52.5	36.0	71.0	clip_6
210	5	32.0	47.5	50.0	67.0	67.0	clip_7
233	5	42.0	45.0	50.5	57.5	63.0	clip_8
255	7	58.0	36.5	47.0	35.5	62.5	clip_9
286	6	35.5	47.0	51.5	66.0	73.5	clip_10
343	5	34.0	44.5	49.0	62.0	65.5	clip_11
385	8	58.0	48.0	53.5	39.5	57.0	clip_12
412	8	34.0	49.0	48.5	65.0	73.0	clip_13
465	7	50.0	50.0	50.0	50.0	50.0	clip_14
518	6	50.0	50.0	50.0	50.0	50.0	clip_15
555	5	64.0	57.5	57.5	36.5	63.5	clip_16
594	7	57.0	42.0	51.0	42.5	84.0	clip_17
611	7	60.0	38.0	38.0	32.5	68.0	clip_18
633	7	33.5	48.5	44.5	73.5	80.0	clip_19
666	4	16.5	57.5	44.5	74.5	74.5	clip_20
701	9	34.5	38.0	52.0	61.0	69.0	clip_21
740	8	50.0	60.0	38.5	65.5	65.5	clip_22
778	9	11.0	11.0	11.0	80.0	80.0	clip_23
799	7	16.0	75.5	24.5	76.5	82.5	clip_24
839	5	38.0	53.0	53.0	74.0	77.0	clip_25
894	6	50.0	50.0	50.0	65.5	68.5	clip_26
962	7	12.5	82.0	46.5	84.5	90.0	clip_27
1002	8	0.0	100.0	24.5	78.0	78.0	clip_28
1022	5	34.0	77.0	27.5	56.0	79.0	clip_29
