onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
15	6	43.0	65.0	65.0	0.0	100.0	clip_1
38	6	84.5	21.0	83.0	27.5	82.0	clip_2
94	5	0.0	0.0	0.0	100.0	100.0	clip_3
160	8	63.5	69.0	100.0	47.0	0.0	clip_4
190	6	0.0	0.0	0.0	100.0	52.0	clip_5
225	7	0.0	0.0	0.0	94.0	50.0	clip_6
265	7	0.0	0.0	0.0	100.0	50.0	clip_7
298	7	94.0	69.0	100.0	2.5	59.0	clip_8
371	7	12.5	2.0	44.5	63.0	59.5	clip_9
420	5	17.0	24.0	70.5	82.5	62.0	clip_10
452	6	0.0	0.0	0.0	100.0	53.5	clip_11
510	6	72.0	60.0	86.0	15.0	46.5	clip_12
536	6	96.5	11.5	86.5	9.0	50.5	clip_13
575	7	69.5	100.0	100.0	0.0	52.5	clip_14
593	7	0.0	100.0	100.0	0.0	61.0	clip_15
633	7	0.0	100.0	100.0	17.0	46.0	clip_16
663	7	0.0	74.5	29.5	36.5	41.5	clip_17
706	7	0.0	26.0	15.5	99.0	49.5	clip_18
