onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
1	5	66.5	26.5	71.0	28.5	77.0	clip_1
26	5	0.5	0.0	0.0	100.0	47.5	clip_2
51	6	2.5	0.0	0.0	100.0	48.0	clip_3
65	6	2.5	2.5	17.5	100.0	62.0	clip_4
99	9	0.0	0.0	0.0	100.0	49.5	clip_5
132	8	37.5	26.5	69.0	61.5	55.0	clip_6
210	8	41.5	50.5	60.5	39.0	100.0	clip_7
240	9	0.0	0.0	0.0	100.0	50.0	clip_8
263	5	37.0	22.0	59.5	73.0	45.5	clip_9
296	9	0.0	0.0	0.0	100.0	47.5	clip_10
328	6	0.0	0.0	0.0	100.0	58.0	clip_11
376	8	0.0	3.0	7.5	95.5	84.5	clip_12
393	11	0.0	0.0	0.0	76.0	48.0	clip_13
422	9	82.0	22.0	86.5	15.5	87.5	clip_14
466	5	7.5	7.5	86.5	36.0	57.0	clip_15
535	8	91.0	23.0	100.0	0.0	0.0	clip_16
551	8	83.0	62.5	100.0	0.0	100.0	clip_17
574	6	26.0	67.0	100.0	0.0	38.5	clip_18
599	7	26.0	64.5	100.0	19.5	11.5	clip_19
641	8	7.5	81.0	92.0	34.0	53.0	clip_20
