onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
8	4	29.0	19.0	23.5	84.0	73.0	clip_1
51	8	0.0	19.0	44.0	100.0	81.5	clip_2
80	6	10.5	19.0	43.0	100.0	85.5	clip_3
108	6	0.0	0.0	11.0	100.0	87.5	clip_4
156	3	0.0	0.0	13.5	100.0	100.0	clip_5
209	5	0.0	0.0	0.0	100.0	100.0	clip_6
228	7	0.0	0.0	0.0	100.0	6.0	clip_7
252	6	22.0	0.0	17.5	17.5	72.5	clip_8
288	6	0.0	0.0	13.0	100.0	55.5	clip_9
330	6	0.0	0.0	17.0	100.0	82.0	clip_10
355	8	0.0	5.0	21.0	100.0	100.0	clip_11
390	6	4.5	4.5	9.5	51.0	60.0	clip_12
440	8	0.0	0.0	0.0	100.0	100.0	clip_13
468	9	0.0	0.0	37.5	100.0	100.0	clip_14
501	6	0.0	0.0	12.0	90.5	50.0	clip_15
543	6	7.0	7.0	28.0	100.0	99.0	clip_16
569	8	10.0	4.0	28.5	100.0	84.5	clip_17
611	8	17.0	3.5	16.0	100.0	82.0	clip_18
645	8	0.0	0.0	0.0	100.0	100.0	clip_19
675	8	0.0	0.0	0.0	100.0	93.0	clip_20
719	6	0.0	0.0	0.0	100.0	100.0	clip_21
762	8	6.0	0.0	0.0	100.0	89.0	clip_22
790	5	0.0	14.0	0.0	100.0	95.0	clip_23
