onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
9	4	54.5	0.0	0.0	21.5	67.0	clip_1
37	8	54.0	49.5	41.5	37.0	100.0	clip_2
58	4	50.0	50.0	50.0	32.0	100.0	clip_3
80	4	66.0	22.5	49.5	37.5	50.5	clip_4
104	10	67.0	29.0	71.0	23.5	52.0	clip_5
134	7	4.5	16.0	60.5	61.5	100.0	clip_6
155	5	14.0	14.0	14.0	86.0	100.0	clip_7
188	6	44.5	7.0	16.0	56.5	52.5	clip_8
209	8	37.5	37.5	54.0	53.5	53.5	clip_9
237	8	40.5	18.0	23.5	63.5	87.5	clip_10
279	9	62.5	23.0	54.5	52.5	52.5	clip_11
307	5	59.5	30.0	60.5	37.0	52.5	clip_12
358	6	55.5	39.0	61.5	36.5	50.0	clip_13
374	9	40.5	57.5	65.5	29.5	52.0	clip_14
395	9	75.5	60.5	77.0	12.5	55.5	clip_15
432	8	71.0	13.0	83.0	2.0	54.0	clip_16
488	5	59.0	25.5	59.0	24.5	52.5	clip_17
512	8	34.0	46.0	30.0	73.0	51.5	clip_18
535	5	36.5	55.0	63.5	63.5	52.0	clip_19
576	6	0.0	21.0	0.0	96.5	48.5	clip_20
