onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
16	5	17.5	42.0	48.5	82.5	51.5	clip_1
45	6	0.0	0.0	0.0	100.0	50.0	clip_2
80	6	28.5	72.0	72.0	23.0	49.5	clip_3
110	7	20.0	0.0	0.0	91.0	49.5	clip_4
140	6	56.5	18.0	71.5	51.0	50.5	clip_5
173	7	33.0	77.0	76.5	21.0	52.5	clip_6
193	6	58.5	100.0	100.0	0.0	51.5	clip_7
225	5	63.5	30.5	68.5	21.0	50.0	clip_8
243	5	29.0	18.0	0.0	71.0	49.5	clip_9
250	8	0.0	0.0	0.0	100.0	48.0	clip_10
270	4	0.0	0.0	0.0	100.0	48.5	clip_11
310	6	62.5	8.0	25.0	41.5	50.0	clip_12
328	10	19.0	0.0	0.0	87.5	49.0	clip_13
360	6	56.0	34.5	53.0	75.5	50.5	clip_14
397	7	56.0	28.0	9.5	62.5	51.5	clip_15
440	5	85.0	73.5	87.0	12.0	52.5	clip_16
452	8	58.5	27.0	16.5	72.0	50.5	clip_17
478	6	0.0	55.0	57.5	66.0	51.0	clip_18
