onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
6	5	35.0	0.0	0.0	81.0	47.5	clip_1
29	5	0.0	0.0	0.0	100.0	49.5	clip_2
60	6	26.5	2.0	23.0	40.5	61.0	clip_3
82	7	25.0	13.0	40.5	44.5	64.0	clip_4
113	6	48.5	44.0	56.0	33.5	71.5	clip_5
134	6	14.0	67.5	84.0	4.5	100.0	clip_6
166	9	42.5	42.5	63.0	40.0	51.5	clip_7
196	8	35.5	50.0	36.5	72.5	72.5	clip_8
239	8	38.5	39.0	58.5	42.5	97.5	clip_9
267	9	28.5	28.5	50.5	55.5	55.5	clip_10
307	10	44.0	51.0	56.5	45.0	52.5	clip_11
352	8	70.5	51.0	32.0	33.5	93.5	clip_12
392	6	50.0	70.0	79.5	12.5	100.0	clip_13
405	7	68.5	64.0	22.5	25.0	100.0	clip_14
443	8	59.0	77.0	70.5	24.0	49.0	clip_15
507	9	18.0	18.0	18.0	74.0	49.5	clip_16
532	7	64.0	58.5	69.5	23.5	93.5	clip_17
570	7	45.0	39.5	39.5	53.5	53.5	clip_18
598	9	50.0	42.0	42.0	36.5	91.5	clip_19
645	8	38.5	51.5	42.5	42.0	79.0	clip_20
674	5	29.5	59.5	22.0	24.5	55.0	clip_21
707	9	64.0	45.0	56.0	21.0	90.5	clip_22
740	7	33.0	33.0	33.0	36.5	52.5	clip_23
776	10	77.0	88.5	91.0	10.5	100.0	clip_24
803	5	36.5	36.5	69.5	28.5	51.5	clip_25
829	7	11.5	11.5	11.5	76.0	51.5	clip_26
864	6	0.0	0.0	0.0	66.0	51.0	clip_27
910	8	0.0	0.0	45.5	48.0	51.0	clip_28
955	10	20.5	73.0	85.0	20.0	95.0	clip_29
972	7	8.5	82.0	84.0	16.5	50.5	clip_30
986	6	0.0	77.5	77.5	14.5	78.0	clip_31
