onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
2	6	16.5	0.0	25.0	0.0	73.0	clip_1
23	5	11.5	11.5	19.0	10.5	51.5	clip_2
66	6	65.5	10.5	27.0	18.5	18.5	clip_3
85	7	60.0	38.5	30.5	39.5	29.5	clip_4
106	6	26.0	26.0	34.0	62.0	19.0	clip_5
124	6	0.0	16.0	23.5	9.0	92.0	clip_6
148	6	0.0	8.5	0.0	0.0	31.0	clip_7
170	10	24.5	18.0	61.5	14.0	54.5	clip_8
195	10	35.5	54.0	58.5	71.5	0.0	clip_9
238	8	20.0	16.5	16.5	9.0	11.5	clip_10
264	8	66.5	66.5	66.5	91.5	0.0	clip_11
294	9	71.5	46.5	36.0	72.5	0.0	clip_12
335	8	62.5	55.0	40.0	60.0	0.0	clip_13
359	5	50.0	40.0	18.0	34.5	8.5	clip_14
395	6	48.5	14.5	6.0	32.0	32.0	clip_15
