onset	duration	Support	Muscle	Frown	Disgust	PleasantOther	trial
19	5	37.0	11.5	17.5	14.0	8.5	clip_1
60	6	0.0	0.0	0.0	0.0	0.0	clip_2
95	5	15.5	23.0	29.0	52.0	24.0	clip_3
131	5	27.0	13.0	13.0	13.0	47.0	clip_4
147	6	14.0	14.0	28.0	9.0	9.0	clip_5
176	6	13.0	0.0	0.0	0.0	46.5	clip_6
210	5	35.0	64.0	48.0	73.0	18.0	clip_7
233	5	13.0	65.5	65.5	65.5	19.5	clip_8
255	7	10.5	10.5	35.5	7.0	7.0	clip_9
286	6	61.5	12.0	12.0	12.0	12.5	clip_10
343	5	12.5	12.5	23.0	13.0	51.0	clip_11
385	8	66.0	38.5	52.0	35.0	24.5	clip_12
412	8	64.0	71.0	71.0	71.0	0.0	clip_13
465	7	50.0	30.0	13.5	0.0	0.0	clip_14
518	6	0.0	0.0	0.0	0.0	50.5	clip_15
555	5	32.0	16.0	6.5	0.0	49.5	clip_16
594	7	35.0	12.5	12.5	0.0	19.5	clip_17
611	7	21.5	7.0	35.5	0.0	67.0	clip_18
633	7	66.5	37.5	10.0	0.0	21.5	clip_19
666	4	61.0	10.5	10.5	33.5	0.0	clip_20
701	9	65.5	40.0	62.0	51.5	31.0	clip_21
740	8	61.0	61.0	67.0	77.5	0.0	clip_22
778	9	16.0	23.0	18.0	53.5	0.0	clip_23
799	7	57.0	21.0	31.5	26.5	2.5	clip_24
839	5	64.0	33.0	6.0	64.5	0.0	clip_25
894	6	71.5	35.5	16.0	49.0	0.0	clip_26
962	7	64.0	48.5	38.0	59.5	0.0	clip_27
1002	8	64.0	34.0	34.0	60.0	0.0	clip_28
1022	5	65.5	37.0	69.0	50.5	17.5	clip_29
