onset	duration	Fear	Guilt	Oppose	Calm	Agent	trial
19	5	88.5	0.0	85.5	8.0	52.5	clip_1
60	6	0.0	0.0	0.0	100.0	49.0	clip_2
95	5	0.0	23.5	79.5	63.5	100.0	clip_3
131	5	0.0	0.0	0.0	100.0	48.5	clip_4
147	6	0.0	0.0	0.0	100.0	48.5	clip_5
176	6	0.0	0.0	0.0	100.0	48.5	clip_6
210	5	56.5	27.5	82.0	39.0	100.0	clip_7
233	5	33.5	11.5	35.5	36.0	51.0	clip_8
255	7	0.0	0.0	0.0	100.0	51.0	clip_9
286	6	29.5	0.0	59.5	50.0	50.0	clip_10
343	5	0.0	0.0	13.0	86.0	48.5	clip_11
385	8	0.0	0.0	23.5	90.0	50.0	clip_12
412	8	65.5	76.5	100.0	0.0	51.0	clip_13
465	7	0.0	37.0	53.5	19.0	51.5	clip_14
518	6	0.0	31.5	88.0	10.5	53.0	clip_15
555	5	50.0	50.0	69.0	17.0	51.0	clip_16
594	7	0.0	67.0	90.0	6.0	100.0	clip_17
611	7	0.0	55.0	95.0	2.5	51.5	clip_18
633	7	96.5	84.0	100.0	0.0	53.5	clip_19
666	4	0.0	41.0	100.0	0.0	53.0	clip_20
701	9	72.5	33.5	100.0	0.0	52.0	clip_21
740	8	65.0	34.5	95.5	35.0	52.5	clip_22
778	9	100.0	94.0	100.0	0.0	53.5	clip_23
799	7	69.0	100.0	100.0	0.0	52.5	clip_24
839	5	17.5	17.5	100.0	0.0	53.0	clip_25
894	6	90.5	3.5	100.0	0.0	51.5	clip_26
962	7	60.5	53.0	100.0	0.0	51.5	clip_27
1002	8	22.0	87.5	100.0	0.0	50.5	clip_28
1022	5	0.0	100.0	100.0	0.0	49.0	clip_29
