onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
15	6	87.0	87.0	31.5	84.0	84.0	clip_1
38	6	67.5	74.0	56.5	70.0	28.5	clip_2
94	5	86.5	52.0	74.0	50.5	67.0	clip_3
160	8	76.5	67.5	61.5	57.0	33.0	clip_4
190	6	82.5	12.5	74.0	79.5	87.5	clip_5
225	7	89.0	30.0	82.0	82.0	43.5	clip_6
265	7	83.5	22.5	95.5	95.5	100.0	clip_7
298	7	74.5	81.5	15.5	25.0	16.0	clip_8
371	7	95.0	66.0	68.0	85.0	39.5	clip_9
420	5	87.5	30.0	54.5	70.0	35.0	clip_10
452	6	94.5	25.0	25.0	56.0	65.0	clip_11
510	6	92.0	58.0	37.5	67.0	40.5	clip_12
536	6	85.5	66.5	34.5	72.0	37.0	clip_13
575	7	83.0	52.0	67.5	74.5	49.5	clip_14
593	7	79.0	92.5	16.0	53.0	11.0	clip_15
633	7	85.5	91.5	21.5	41.5	14.5	clip_16
663	7	93.5	43.0	34.5	32.0	18.5	clip_17
706	7	100.0	19.5	87.5	30.5	25.0	clip_18
