onset	duration	Attention	Frown	Satisfaction	Agent	PleasantOther	trial
30	6	68.5	28.5	63.5	79.0	52.5	clip_1
50	7	70.5	34.0	63.5	74.5	89.0	clip_2
71	5	65.5	50.0	74.5	74.5	21.0	clip_3
98	10	65.0	56.5	66.0	70.5	47.5	clip_4
128	5	84.0	69.5	68.0	78.0	59.0	clip_5
152	7	67.0	81.0	25.5	70.0	17.0	clip_6
195	8	71.5	80.5	26.0	26.0	27.5	clip_7
221	9	37.0	81.0	26.0	26.0	3.5	clip_8
255	5	75.0	53.5	54.5	67.0	49.0	clip_9
298	10	79.5	60.5	62.0	81.5	44.5	clip_10
336	4	71.0	33.5	83.5	83.5	72.5	clip_11
350	9	61.5	66.0	50.0	28.5	58.5	clip_12
376	9	87.0	61.5	76.5	10.0	31.0	clip_13
428	10	78.5	31.5	56.5	77.5	77.5	clip_14
455	4	100.0	30.0	80.5	94.5	94.5	clip_15
484	8	87.0	31.0	31.0	94.5	75.0	clip_16
510	10	79.5	65.0	65.0	83.0	83.0	clip_17
532	8	87.5	56.5	87.5	87.5	90.5	clip_18
553	7	68.0	58.0	60.5	67.5	23.5	clip_19
582	8	62.0	62.0	55.5	51.0	51.0	clip_20
