onset	duration	Care	Disgust	Regard	Undo	Move	trial
16	5	34.0	34.0	52.0	52.0	52.0	clip_1
48	8	31.5	23.5	48.5	38.0	38.0	clip_2
68	4	23.0	6.0	50.5	50.5	30.0	clip_3
94	7	15.0	15.0	50.0	50.0	50.0	clip_4
116	4	65.0	57.0	57.0	57.0	57.0	clip_5
165	7	69.5	26.5	56.5	56.5	56.5	clip_6
196	6	86.5	60.5	60.5	66.5	66.5	clip_7
232	10	33.5	58.5	22.5	22.5	22.5	clip_8
285	5	27.5	17.0	52.5	18.0	18.0	clip_9
307	7	82.0	82.0	16.5	16.5	16.5	clip_10
355	10	14.0	61.0	27.0	27.0	27.0	clip_11
384	9	70.5	70.5	15.5	57.0	37.0	clip_12
