onset	duration	Care	Disgust	Regard	Undo	Move	trial
6	5	25.5	25.5	56.5	49.5	49.5	clip_1
29	5	67.0	31.5	55.0	55.0	43.0	clip_2
60	6	44.5	33.5	53.0	53.0	49.5	clip_3
82	7	39.0	31.0	49.5	49.5	49.5	clip_4
113	6	61.0	61.0	39.5	61.0	42.0	clip_5
134	6	72.5	72.5	16.5	73.5	69.0	clip_6
166	9	70.5	70.5	25.0	70.5	70.5	clip_7
196	8	67.5	67.5	19.5	69.5	51.5	clip_8
239	8	76.0	76.0	12.5	81.0	57.0	clip_9
267	9	72.5	92.5	0.5	68.5	55.0	clip_10
307	10	85.0	100.0	0.0	100.0	80.5	clip_11
352	8	50.0	50.0	17.5	75.5	64.0	clip_12
392	6	98.0	98.0	0.0	90.0	90.0	clip_13
405	7	100.0	100.0	0.0	83.0	83.0	clip_14
443	8	83.5	83.5	10.0	65.5	65.5	clip_15
507	9	100.0	100.0	57.0	80.5	80.5	clip_16
532	7	50.0	50.0	50.0	64.0	64.0	clip_17
570	7	50.0	77.5	77.5	77.5	57.5	clip_18
598	9	98.0	98.0	10.5	86.5	63.0	clip_19
645	8	79.5	79.5	69.0	69.0	69.0	clip_20
674	5	82.0	52.0	85.5	85.5	76.5	clip_21
707	9	75.5	69.0	61.5	100.0	66.0	clip_22
740	7	80.5	80.5	80.5	80.5	85.5	clip_23
776	10	50.0	50.0	72.5	72.5	72.5	clip_24
803	5	81.5	81.5	69.5	81.5	58.0	clip_25
829	7	73.0	73.0	64.0	85.5	85.5	clip_26
864	6	82.0	54.0	89.5	89.5	58.5	clip_27
910	8	83.5	66.5	86.5	86.5	71.5	clip_28
955	10	98.5	58.5	74.0	74.0	74.0	clip_29
972	7	100.0	61.0	73.5	73.5	73.5	clip_30
986	6	98.0	62.5	71.5	84.5	72.5	clip_31
