onset	duration	Care	Disgust	Regard	Undo	Move	trial
30	6	0.0	27.0	48.5	49.5	49.5	clip_1
50	7	50.0	50.0	50.0	50.0	50.0	clip_2
71	5	50.0	50.0	42.5	42.5	18.5	clip_3
98	10	29.5	22.5	50.0	35.5	24.5	clip_4
128	5	16.0	16.0	46.0	46.0	46.0	clip_5
152	7	38.0	61.0	26.0	26.0	26.0	clip_6
195	8	79.5	71.0	20.0	68.5	60.5	clip_7
221	9	34.0	74.5	23.0	76.5	55.5	clip_8
255	5	31.0	31.0	44.5	25.0	22.5	clip_9
298	10	66.0	59.0	43.5	46.5	46.5	clip_10
336	4	50.0	40.0	48.5	38.5	38.5	clip_11
350	9	67.0	67.0	46.0	46.0	32.5	clip_12
376	9	27.0	27.0	41.5	41.5	41.5	clip_13
428	10	33.0	73.0	49.0	36.0	36.0	clip_14
455	4	24.5	44.5	44.5	31.0	23.5	clip_15
484	8	28.0	49.0	41.5	60.0	55.0	clip_16
510	10	22.0	42.0	51.0	44.0	38.5	clip_17
532	8	23.5	71.0	47.5	35.5	29.5	clip_18
553	7	56.0	74.5	43.0	43.0	33.0	clip_19
582	8	23.0	82.0	36.5	36.5	29.5	clip_20
