onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
30	6	50.0	0.0	0.0	0.0	45.5	clip_1
50	7	50.0	0.0	0.0	0.0	46.5	clip_2
71	5	50.0	0.0	48.0	0.5	65.0	clip_3
98	10	50.0	0.0	21.0	0.0	59.0	clip_4
128	5	50.0	0.0	0.0	0.0	47.5	clip_5
152	7	41.0	11.0	11.0	49.0	55.0	clip_6
195	8	12.5	18.5	22.0	64.5	64.5	clip_7
221	9	35.5	19.5	23.0	55.5	83.0	clip_8
255	5	50.0	0.0	0.0	0.0	0.0	clip_9
298	10	50.0	0.0	0.0	0.0	0.0	clip_10
336	4	50.0	0.0	0.0	0.0	0.0	clip_11
350	9	50.0	1.5	1.5	1.5	80.5	clip_12
376	9	29.0	0.0	0.0	56.0	56.0	clip_13
428	10	50.0	0.0	0.0	0.0	25.0	clip_14
455	4	50.0	0.0	57.0	0.5	76.0	clip_15
484	8	50.0	0.0	25.0	0.0	69.5	clip_16
510	10	49.0	0.0	63.5	13.0	100.0	clip_17
532	8	50.0	0.0	58.5	0.0	100.0	clip_18
553	7	50.0	0.0	25.5	36.0	100.0	clip_19
582	8	50.0	0.0	43.5	21.5	86.5	clip_20
