onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
6	5	50.0	0.0	48.5	0.0	0.0	clip_1
29	5	50.0	0.0	0.0	0.0	30.0	clip_2
60	6	50.0	0.0	0.0	0.0	88.0	clip_3
82	7	50.0	14.5	14.5	14.5	83.0	clip_4
113	6	50.0	2.5	2.5	51.0	93.5	clip_5
134	6	25.0	7.0	29.0	70.5	74.0	clip_6
166	9	38.0	8.0	8.0	40.0	89.0	clip_7
196	8	50.0	0.0	0.0	50.5	82.0	clip_8
239	8	50.0	0.0	28.5	59.0	100.0	clip_9
267	9	15.5	0.0	49.5	80.0	89.0	clip_10
307	10	17.5	4.0	25.0	82.5	84.0	clip_11
352	8	39.0	19.0	19.0	64.0	77.0	clip_12
392	6	28.5	9.0	58.0	70.5	87.0	clip_13
405	7	27.5	10.0	10.0	73.5	82.5	clip_14
443	8	18.5	0.0	24.0	63.5	95.0	clip_15
507	9	50.0	9.0	48.5	56.5	82.5	clip_16
532	7	46.0	2.0	32.5	56.5	56.5	clip_17
570	7	54.5	27.0	27.0	49.0	87.0	clip_18
598	9	50.0	5.0	68.5	45.5	89.5	clip_19
645	8	50.0	10.0	28.5	62.5	82.5	clip_20
674	5	37.5	11.5	25.0	55.0	78.0	clip_21
707	9	46.5	9.5	33.5	57.5	98.0	clip_22
740	7	44.0	1.0	38.0	50.5	71.0	clip_23
776	10	26.5	33.0	33.0	61.0	100.0	clip_24
803	5	30.5	24.5	34.0	34.0	34.0	clip_25
829	7	29.5	23.0	32.5	61.5	81.0	clip_26
864	6	30.0	34.0	39.0	65.5	80.0	clip_27
910	8	35.5	35.5	35.5	69.5	86.0	clip_28
955	10	35.5	35.5	52.5	62.0	100.0	clip_29
972	7	24.5	34.5	48.0	68.0	100.0	clip_30
986	6	24.5	38.0	46.0	76.0	98.5	clip_31
