onset	duration	Good	Throat	Controlled	Bad	GoalsOther	trial
4	5	50.0	50.0	50.0	50.0	50.0	clip_1
44	6	36.0	28.5	54.0	58.0	67.0	clip_2
71	6	50.0	50.0	50.0	50.0	50.0	clip_3
118	8	50.0	50.0	50.0	50.0	50.0	clip_4
142	7	67.5	24.5	50.5	5.0	55.5	clip_5
168	5	54.0	15.0	49.5	28.0	79.0	clip_6
201	8	50.0	15.5	15.5	0.0	84.5	clip_7
232	6	53.0	22.5	54.5	29.5	60.5	clip_8
267	8	50.0	3.0	47.0	2.0	69.0	clip_9
308	7	50.0	50.0	50.0	50.0	50.0	clip_10
341	10	54.5	0.5	49.0	49.0	37.0	clip_11
404	9	63.0	18.5	47.5	21.0	61.0	clip_12
440	8	50.0	0.0	37.5	15.0	72.5	clip_13
473	7	56.0	17.0	17.0	5.5	40.0	clip_14
510	9	54.5	2.5	49.5	0.5	70.5	clip_15
547	4	62.0	16.0	52.5	4.5	54.0	clip_16
596	9	48.5	21.5	21.5	53.0	100.0	clip_17
638	6	30.0	30.0	30.0	63.0	97.5	clip_18
662	5	39.5	16.0	29.5	53.5	53.5	clip_19
690	8	46.0	21.0	56.5	56.5	84.5	clip_20
720	7	33.5	33.5	33.5	54.5	59.5	clip_21
750	8	40.5	40.5	52.5	63.5	68.5	clip_22
777	5	39.0	34.0	51.0	59.5	70.5	clip_23
799	5	50.0	50.0	50.0	50.0	50.0	clip_24
