onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
4	5	0.0	0.0	33.0	56.0	13.0	clip_1
44	6	80.5	16.5	66.0	4.0	17.0	clip_2
71	6	0.0	94.0	4.5	40.0	81.0	clip_3
118	8	0.0	98.0	0.0	48.5	85.0	clip_4
142	7	0.5	73.5	0.0	71.5	100.0	clip_5
168	5	30.0	0.0	0.0	41.5	78.0	clip_6
201	8	68.5	12.0	26.0	26.0	42.0	clip_7
232	6	75.5	48.5	55.0	18.5	15.5	clip_8
267	8	78.5	49.5	41.0	41.0	9.0	clip_9
308	7	17.0	85.5	15.0	60.5	88.0	clip_10
341	10	61.5	24.5	67.0	0.0	11.5	clip_11
404	9	76.0	48.5	62.0	25.5	25.5	clip_12
440	8	20.5	20.5	14.5	14.5	44.5	clip_13
473	7	17.0	100.0	100.0	23.5	23.5	clip_14
510	9	14.5	55.0	3.0	62.0	77.5	clip_15
547	4	5.0	90.5	7.0	66.0	80.0	clip_16
596	9	66.0	8.5	71.0	0.0	18.0	clip_17
638	6	18.5	14.0	17.0	0.0	0.0	clip_18
662	5	7.0	7.0	92.5	92.5	2.0	clip_19
690	8	0.5	88.0	88.0	0.0	24.5	clip_20
720	7	2.5	45.5	82.0	4.0	14.5	clip_21
750	8	14.0	60.5	85.5	6.0	0.0	clip_22
777	5	0.0	3.0	77.5	0.0	73.0	clip_23
799	5	0.0	81.0	0.0	42.5	88.5	clip_24
