onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
3	7	100.0	5.5	88.0	6.5	0.0	clip_1
44	7	3.5	51.0	4.5	0.0	73.5	clip_2
76	5	9.0	82.0	5.5	0.0	50.0	clip_3
95	8	1.5	85.5	0.0	2.0	52.5	clip_4
139	8	0.0	87.5	0.0	0.0	51.5	clip_5
193	9	61.0	33.0	60.0	0.0	15.5	clip_6
230	7	7.5	48.5	0.0	0.0	76.5	clip_7
270	10	14.0	89.5	3.0	0.0	30.5	clip_8
316	9	18.0	94.5	2.0	9.5	0.0	clip_9
360	8	5.0	80.0	7.5	7.5	31.0	clip_10
420	10	59.5	31.5	2.0	2.0	48.5	clip_11
466	8	2.5	98.5	2.0	76.5	14.0	clip_12
493	8	9.5	90.5	0.0	0.0	84.5	clip_13
525	9	23.0	67.0	9.5	0.0	44.0	clip_14
559	5	0.5	100.0	1.5	48.5	78.0	clip_15
576	8	0.0	35.5	11.0	25.5	52.5	clip_16
590	4	80.0	71.5	37.0	4.5	20.0	clip_17
628	8	66.5	16.0	3.5	53.0	5.5	clip_18
653	5	29.0	100.0	0.0	0.0	30.5	clip_19
670	6	9.5	100.0	51.0	0.0	48.5	clip_20
689	3	0.0	100.0	31.0	0.0	48.0	clip_21
721	6	0.0	59.0	59.0	3.0	29.0	clip_22
737	5	82.5	85.0	64.5	0.0	15.0	clip_23
766	8	81.5	12.0	88.5	0.0	42.5	clip_24
