onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
1	5	91.5	0.0	100.0	0.0	3.5	clip_1
26	5	83.5	75.0	28.5	11.5	23.5	clip_2
51	6	2.0	93.5	11.5	42.0	30.0	clip_3
65	6	22.0	100.0	57.5	0.0	29.5	clip_4
99	9	27.5	90.0	0.0	23.0	78.0	clip_5
132	8	77.5	77.5	60.5	4.0	24.5	clip_6
210	8	26.5	0.0	69.0	1.0	17.5	clip_7
240	9	61.0	58.5	79.0	0.0	5.5	clip_8
263	5	71.0	51.5	28.0	0.0	31.0	clip_9
296	9	5.0	88.5	5.5	35.0	8.5	clip_10
328	6	13.0	85.0	3.5	3.5	65.0	clip_11
376	8	18.0	98.0	34.5	8.0	60.0	clip_12
393	11	67.5	67.5	63.5	2.5	13.0	clip_13
422	9	75.5	16.5	83.5	0.0	4.5	clip_14
466	5	100.0	0.0	100.0	0.0	0.0	clip_15
535	8	100.0	0.0	100.0	0.0	0.0	clip_16
551	8	94.0	0.0	100.0	0.0	0.0	clip_17
574	6	50.0	49.0	100.0	0.0	0.0	clip_18
599	7	39.0	61.0	83.5	0.0	5.5	clip_19
641	8	17.5	78.5	76.0	2.0	31.5	clip_20
