onset	duration	Fear	Standards	Bad	Strong	AtEase	trial
15	9	0.0	89.5	0.0	60.5	91.5	clip_1
35	5	0.0	100.0	0.0	78.0	45.5	clip_2
63	6	0.0	74.0	0.0	45.5	79.0	clip_3
116	7	19.0	96.0	17.0	6.0	6.0	clip_4
162	8	9.0	23.0	42.5	0.0	23.0	clip_5
185	7	3.5	89.5	50.5	0.0	64.0	clip_6
203	5	22.5	83.0	3.0	82.5	68.0	clip_7
248	7	4.5	72.0	59.0	0.0	25.0	clip_8
286	8	65.0	34.5	69.0	0.0	22.5	clip_9
333	7	68.0	21.0	68.0	4.0	26.5	clip_10
360	7	74.5	57.5	69.0	0.0	6.0	clip_11
383	7	0.0	42.5	88.5	4.5	4.5	clip_12
412	6	12.0	2.0	66.0	0.0	56.0	clip_13
470	9	0.0	49.5	2.0	0.0	72.0	clip_14
517	6	8.5	72.5	13.0	49.0	60.0	clip_15
543	7	18.0	50.5	50.5	50.5	19.0	clip_16
584	8	29.5	59.5	34.0	7.5	66.5	clip_17
