onset	duration	Smile	Calm	Predictable	Repeat	Oppose	trial
30	6	33.0	31.0	59.0	67.0	20.0	clip_1
50	7	25.5	34.5	63.5	71.5	23.5	clip_2
71	5	29.0	67.0	47.0	36.5	50.0	clip_3
98	10	25.5	73.0	58.5	40.0	29.0	clip_4
128	5	58.0	70.0	55.5	56.0	25.0	clip_5
152	7	22.0	43.0	61.5	29.0	81.5	clip_6
195	8	10.5	37.5	65.0	23.0	90.5	clip_7
221	9	9.5	36.5	66.0	38.0	86.5	clip_8
255	5	24.0	58.5	61.5	47.5	24.5	clip_9
298	10	33.5	71.0	38.5	56.5	22.5	clip_10
336	4	62.0	78.5	38.0	68.5	32.0	clip_11
350	9	29.5	69.0	45.5	41.0	23.5	clip_12
376	9	31.5	36.5	68.0	14.5	66.5	clip_13
428	10	41.5	63.0	61.5	55.5	45.5	clip_14
455	4	58.0	65.5	61.0	64.5	35.0	clip_15
484	8	49.5	67.0	62.5	65.0	36.0	clip_16
510	10	63.5	36.5	41.5	77.0	29.0	clip_17
532	8	58.0	38.0	63.5	62.5	17.0	clip_18
553	7	33.0	41.5	24.5	48.5	36.5	clip_19
582	8	60.0	60.0	47.0	62.5	16.5	clip_20
